Antifade,Transcript,Stack_No,Avg_Max,Std_Max,SEM_Max,Avg_Min,Std_Min,SEM_Min,Avg_Mean,Std_Mean,SEM_Mean,Norm_avg_Max,Norm_std_Max,Norm_SEM_Max,Norm_avg_Min,Norm_std_Min,Norm_SEM_Min,Norm_avg_Mean,Norm_std_Mean,Norm_SEM_Mean
n-propyl_vecta,imb-2,55,692.3571429,156.6861671,41.8761396,160.5714286,22.15231985,5.920456514,316.6969286,55.66668907,14.87754845,0.824060492,0.042149731,0.01126499,0.949792143,0.026178162,0.006996408,0.880607644,0.028095345,0.007508797
n-propyl_vecta,imb-2,56,690.6428571,152.0245968,40.63028253,160.1428571,22.25674364,5.948364946,316.252,55.52794202,14.84046675,0.823001794,0.044158946,0.011801975,0.947264558,0.030054845,0.008032495,0.879417508,0.02848329,0.00761248
n-propyl_vecta,imb-2,57,686.5714286,149.830527,40.04389272,160,21.84561213,5.838485428,315.7304286,55.35415324,14.79401974,0.81906462,0.051530878,0.013772207,0.94670043,0.030136701,0.008054372,0.878021676,0.028622944,0.007649804
n-propyl_vecta,imb-2,58,686.3571429,147.3283132,39.37514795,161.0714286,22.84888244,6.106620696,315.2605,55.23679583,14.76265465,0.819306801,0.049495804,0.01322831,0.952513083,0.032921681,0.008798689,0.876734449,0.028673278,0.007663256
n-propyl_vecta,imb-2,59,690.7857143,156.8297355,41.91450988,159.5,20.88705893,5.58230131,314.7443571,55.05029447,14.71281007,0.821730157,0.038611178,0.010319271,0.944430069,0.031493061,0.008416875,0.875363267,0.028941816,0.007735026
n-propyl_vecta,imb-2,60,682.9285714,151.4664036,40.48109914,159.1428571,22.66769013,6.058195015,314.2957143,54.94186293,14.68383052,0.813202478,0.0370208,0.009894225,0.940855848,0.029459736,0.007873446,0.87414887,0.029111088,0.007780265
n-propyl_vecta,imb-2,61,687.4285714,148.1032458,39.58225741,158.9285714,22.26575254,5.950772677,313.8949286,54.77700409,14.63977014,0.820514767,0.051070128,0.013649066,0.940160496,0.034265556,0.009157855,0.87308878,0.029273152,0.007823579
n-propyl_vecta,imb-2,62,680.7857143,147.3541932,39.38206466,160.2142857,22.31652913,5.964343291,313.4398571,54.6788046,14.61352522,0.812298055,0.041855436,0.011186336,0.947573413,0.028169316,0.007528566,0.871830469,0.029210818,0.007806919
n-propyl_vecta,imb-2,63,677.2857143,143.0741758,38.23818191,160.1428571,22.06234921,5.89641085,312.9563571,54.4813827,14.560762,0.809442565,0.050679109,0.013544562,0.94752758,0.032809212,0.008768631,0.870555258,0.029431889,0.007866003
n-propyl_vecta,imb-2,64,677.0714286,148.039737,39.56528397,160.0714286,22.18961741,5.930424707,312.4992857,54.37510157,14.53235717,0.8068158,0.03810651,0.010184393,0.946729567,0.027499539,0.007349561,0.869311388,0.029598035,0.007910408
n-propyl_vecta,imb-2,65,677.5,149.9224158,40.06845105,158.8571429,22.43574464,5.996204975,312.0952857,54.26180382,14.50207708,0.807638813,0.046548316,0.012440561,0.93931573,0.028847524,0.007709825,0.868216375,0.029732626,0.007946378
